iter	Passed	Remaining
0	0	818
1	1	776
2	2	751
3	3	747
4	3	721
5	3	643
6	4	573
7	4	531
8	4	484
9	4	461
10	5	473
11	5	451
12	6	469
13	6	491
14	8	561
15	8	540
16	9	523
17	9	507
18	9	491
19	9	480
20	10	469
21	10	451
22	10	452
23	11	482
24	12	479
25	13	512
26	13	503
27	14	493
28	14	486
29	14	477
30	15	480
31	16	486
32	16	481
33	16	473
34	16	466
35	17	458
36	17	452
37	17	445
38	17	439
39	18	433
40	18	428
41	18	422
42	18	419
43	19	417
44	19	413
45	19	408
46	19	404
47	20	400
48	20	396
49	20	392
50	20	388
51	21	391
52	21	388
53	22	387
54	22	388
55	22	386
56	23	391
57	23	388
58	24	385
59	24	382
60	24	379
61	24	376
62	25	374
63	26	388
64	27	392
65	27	395
66	28	397
67	28	395
68	29	392
69	29	389
70	29	386
71	29	384
72	30	381
73	30	378
74	30	376
75	30	373
76	30	370
77	31	368
78	31	366
79	31	364
80	31	362
81	32	361
82	32	358
83	33	367
84	34	366
85	34	364
86	34	362
87	35	364
88	35	366
89	36	366
90	36	364
91	38	381
92	39	382
93	39	381
94	39	379
95	41	386
96	41	389
97	42	391
98	43	394
99	43	395
100	44	394
101	44	393
102	44	391
103	45	389
104	45	387
105	45	385
106	45	383
107	46	382
108	46	380
109	46	378
110	47	376
111	47	374
112	47	373
113	48	373
114	48	373
115	48	371
116	49	370
117	49	368
118	49	366
119	49	364
120	49	362
121	50	361
122	50	359
123	50	358
124	50	356
125	51	358
126	52	358
127	52	357
128	52	355
129	53	358
130	54	359
131	54	360
132	55	360
133	55	359
134	56	360
135	56	358
136	56	357
137	57	356
138	57	356
139	57	355
140	58	353
141	58	352
142	58	350
143	58	349
144	59	348
145	59	346
146	59	345
147	59	344
148	60	342
149	60	341
150	60	340
151	60	338
152	60	337
153	61	336
154	61	334
155	61	333
156	61	332
157	62	331
158	62	330
159	63	330
160	63	329
161	63	328
162	63	328
163	64	327
164	64	326
165	64	326
166	65	327
167	66	326
168	66	327
169	66	325
170	66	324
171	67	324
172	68	325
173	68	324
174	68	322
175	68	321
176	68	320
177	69	319
178	69	318
179	69	317
180	69	316
181	70	315
182	70	316
183	71	316
184	71	315
185	71	315
186	72	313
187	72	312
188	73	313
189	73	312
190	73	312
191	74	312
192	74	312
193	75	313
194	75	313
195	76	313
196	76	312
197	77	312
198	77	312
199	77	311
200	78	310
201	78	310
202	78	309
203	79	308
204	79	308
205	79	307
206	80	306
207	80	305
208	80	304
209	80	303
210	81	302
211	81	302
212	81	301
213	82	301
214	82	302
215	83	301
216	83	300
217	83	300
218	85	306
219	86	306
220	87	306
221	87	307
222	88	307
223	88	308
224	89	309
225	90	309
226	91	310
227	91	311
228	92	311
229	93	314
230	94	313
231	94	312
232	94	312
233	95	310
234	95	311
235	95	310
236	96	309
237	96	308
238	96	307
239	97	308
240	97	307
241	97	306
242	98	306
243	98	306
244	99	305
245	99	305
246	99	304
247	100	303
248	100	303
249	100	302
250	101	302
251	101	302
252	102	301
253	102	300
254	102	299
255	103	299
256	104	300
257	104	300
258	104	299
259	104	298
260	105	297
261	105	296
262	105	295
263	105	295
264	106	294
265	106	293
266	106	292
267	106	291
268	106	290
269	107	289
270	107	288
271	107	288
272	107	287
273	108	286
274	108	285
275	108	285
276	108	284
277	109	283
278	109	283
279	109	282
280	110	281
281	110	281
282	111	281
283	111	282
284	112	281
285	112	280
286	112	279
287	113	279
288	114	282
289	115	281
290	115	281
291	115	281
292	116	280
293	116	280
294	116	279
295	117	278
296	117	277
297	117	277
298	118	276
299	118	276
300	118	275
301	118	274
302	119	274
303	119	273
304	119	273
305	120	272
306	120	271
307	120	271
308	120	270
309	121	269
310	121	269
311	121	268
312	122	268
313	122	267
314	122	267
315	123	266
316	123	266
317	123	265
318	123	264
319	124	263
320	124	263
321	124	262
322	124	261
323	125	261
324	125	260
325	125	260
326	125	259
327	126	258
328	126	258
329	126	257
330	126	256
331	127	255
332	127	255
333	127	254
334	127	253
335	128	253
336	128	252
337	128	251
338	128	251
339	128	250
340	129	249
341	129	248
342	129	248
343	129	247
344	130	246
345	130	246
346	130	245
347	130	244
348	131	245
349	131	244
350	131	243
351	132	243
352	132	242
353	132	241
354	132	241
355	133	240
356	133	240
357	133	240
358	134	239
359	134	239
360	134	238
361	135	238
362	135	237
363	135	237
364	135	236
365	136	236
366	136	235
367	136	235
368	137	234
369	137	234
370	137	233
371	138	233
372	138	232
373	138	231
374	138	231
375	139	230
376	139	230
377	139	229
378	139	229
379	140	228
380	140	227
381	140	227
382	140	226
383	141	226
384	141	225
385	141	225
386	142	225
387	142	224
388	142	224
389	143	223
390	143	223
391	143	222
392	143	222
393	144	221
394	144	220
395	144	220
396	144	219
397	145	219
398	145	218
399	145	218
400	145	217
401	146	217
402	146	216
403	146	216
404	147	216
405	147	215
406	147	215
407	147	214
408	148	214
409	148	213
410	148	213
411	149	212
412	149	212
413	149	211
414	149	211
415	149	210
416	150	209
417	150	209
418	150	208
419	151	208
420	151	208
421	151	207
422	152	207
423	152	206
424	152	206
425	152	205
426	153	205
427	153	204
428	153	204
429	153	203
430	154	203
431	154	203
432	154	202
433	154	202
434	155	201
435	155	201
436	155	200
437	155	199
438	156	199
439	156	198
440	156	198
441	156	197
442	156	197
443	157	196
444	157	196
445	157	195
446	157	195
447	158	194
448	158	194
449	158	193
450	158	193
451	159	193
452	159	192
453	159	192
454	160	191
455	160	191
456	160	190
457	160	190
458	161	189
459	161	189
460	162	189
461	162	189
462	162	188
463	162	188
464	163	188
465	163	187
466	164	187
467	164	186
468	164	186
469	164	185
470	165	185
471	165	185
472	165	184
473	166	184
474	166	183
475	166	183
476	166	182
477	167	182
478	167	181
479	167	181
480	167	181
481	168	180
482	168	180
483	168	179
484	168	179
485	169	179
486	169	178
487	169	178
488	170	177
489	170	177
490	170	176
491	170	176
492	171	175
493	171	175
494	171	174
495	171	174
496	171	174
497	172	173
498	172	173
499	172	172
500	172	172
501	173	171
502	173	171
503	173	170
504	174	170
505	174	170
506	174	169
507	174	169
508	175	168
509	175	168
510	175	168
511	176	167
512	176	167
513	176	167
514	176	166
515	177	166
516	177	165
517	177	165
518	177	164
519	178	164
520	178	163
521	178	163
522	178	163
523	178	162
524	179	162
525	179	161
526	179	161
527	179	160
528	179	160
529	180	159
530	180	159
531	180	158
532	180	158
533	181	158
534	181	157
535	181	157
536	181	156
537	182	156
538	182	155
539	182	155
540	182	154
541	182	154
542	183	154
543	183	153
544	183	153
545	183	152
546	184	152
547	184	152
548	184	151
549	184	151
550	185	150
551	185	150
552	185	150
553	186	149
554	186	149
555	186	148
556	186	148
557	186	148
558	187	147
559	187	147
560	187	146
561	187	146
562	188	145
563	188	145
564	188	145
565	188	144
566	188	144
567	189	143
568	189	143
569	189	143
570	189	142
571	190	142
572	190	141
573	190	141
574	190	140
575	190	140
576	191	140
577	191	139
578	191	139
579	191	138
580	192	138
581	192	138
582	192	137
583	192	137
584	193	136
585	193	136
586	194	136
587	194	136
588	194	135
589	195	135
590	195	135
591	195	134
592	195	134
593	196	134
594	196	133
595	196	133
596	196	132
597	196	132
598	197	132
599	197	131
600	197	131
601	197	130
602	198	130
603	198	130
604	198	129
605	198	129
606	199	128
607	199	128
608	199	128
609	199	127
610	199	127
611	200	126
612	200	126
613	200	126
614	200	125
615	201	125
616	201	124
617	201	124
618	201	124
619	201	123
620	202	123
621	202	122
622	202	122
623	202	122
624	202	121
625	203	121
626	203	121
627	203	120
628	203	120
629	204	119
630	204	119
631	204	119
632	204	118
633	205	118
634	205	117
635	205	117
636	205	117
637	205	116
638	206	116
639	206	116
640	206	115
641	206	115
642	207	114
643	207	114
644	207	114
645	207	113
646	208	113
647	208	113
648	208	112
649	208	112
650	208	112
651	209	111
652	209	111
653	209	110
654	209	110
655	209	110
656	210	109
657	210	109
658	210	109
659	210	108
660	211	108
661	211	107
662	211	107
663	211	107
664	211	106
665	212	106
666	212	106
667	212	105
668	212	105
669	213	104
670	213	104
671	213	104
672	213	103
673	213	103
674	214	103
675	214	102
676	214	102
677	214	102
678	215	101
679	215	101
680	215	100
681	215	100
682	215	100
683	216	99
684	216	99
685	216	99
686	216	98
687	216	98
688	217	98
689	217	97
690	217	97
691	217	96
692	218	96
693	218	96
694	218	95
695	218	95
696	219	95
697	219	94
698	219	94
699	219	94
700	220	93
701	220	93
702	220	93
703	220	92
704	220	92
705	221	92
706	221	91
707	221	91
708	221	91
709	222	90
710	222	90
711	222	90
712	222	89
713	223	89
714	223	88
715	223	88
716	223	88
717	223	87
718	224	87
719	224	87
720	224	86
721	224	86
722	225	86
723	225	85
724	225	85
725	225	85
726	226	84
727	226	84
728	226	84
729	226	83
730	226	83
731	227	83
732	227	82
733	227	82
734	227	82
